sub_program_reference_id,program_reference_id
ACTD,Allen Brain Map
ADMBA,Allen Brain Map
AHBA,Allen Brain Map
AMBA,Allen Brain Map
AMBCA,Allen Brain Map
ASCA,Allen Brain Map
BrainSpan,Allen Brain Map
IvyGBM,Allen Brain Map
NHP,Allen Brain Map
R24 Ghosh,BICCN
R24 Ropelewski,BICCN
R24 White,BICCN
RF1 Chung,BICCN
RF1 Mueller,BICCN
RF1 Nowakowski,BICCN
RF1 Regev,BICCN
RF1 Tasic,BICCN
RF1 Tilgner,BICCN
TBI,Allen Brain Map
TransChar,Allen Brain Map
U01 Chung,BICCN
U01 Dong,BICCN
U01 Ecker,BICCN
U01 Feng,BICCN
U01 Fischl,BICCN
U01 Kriegstein,BICCN
U01 Lein,BICCN
U01 Osten,BICCN
U01 Snyder-Mackler,BICCN
U01 Yang,BICCN
U01 ZhangKun,BICCN
U01 ZhangLi,BICCN
U19 Ecker,BICCN
U19 Huang,BICCN
U19 Zeng,BICCN
U24 Hawrylycz,BICCN
VisualCoding,Allen Brain Map
