project_reference_id,protocol_reference_id,priority_order
dong_antero_proj,protocol http://doi.org/10.17504/protocols.io.4xjgxkn,0
dong_retro_proj,protocol http://doi.org/10.17504/protocols.io.4xpgxmn,0
dong_trio_proj,protocol http://doi.org/10.17504/protocols.io.4xsgxne,0
ecker_hu_sn_ATACseq_proj,protocol http://doi.org/10.17504/protocols.io.4zzgx76,0
ecker_hu_sn_mCseq_proj,protocol http://doi.org/10.17504/protocols.io.pjvdkn6,0
ecker_sn_ATACseq_proj,protocol http://doi.org/10.17504/protocols.io.pjudknw,0
ecker_sn_mCseq_proj,protocol http://doi.org/10.17504/protocols.io.pjvdkn6,0
ecker_sn_mCseq_retro_proj,protocol http://doi.org/10.17504/protocols.io.pjvdkn6,0
ecker_trio_proj,protocol http://doi.org/10.17504/protocols.io.4xsgxne,0
feng_sn_dropseq_proj,protocol http://doi.org/10.17504/protocols.io.2srged6,0
huang_antero_proj,protocol http://doi.org/10.17504/protocols.io.4xjgxkn,0
huang_retro_proj,protocol http://doi.org/10.17504/protocols.io.4xpgxmn,0
huang_sn_10xv2_proj,protocol http://doi.org/10.17504/protocols.io.md2c28e,0
huang_sn_10xv2_proj,protocol https://doi.org/10.17504/protocols.io.bbseinbe,1
huang_stpt_conn_proj,protocol http://doi.org/10.17504/protocols.io.sqcedsw,0
huang_stpt_count_proj,protocol http://doi.org/10.17504/protocols.io.sqcedsw,0
kriegstein_sc_10x_proj,protocol https://cells.ucsc.edu/cortex-dev/protocol.pdf,0
kriegstein_sc_ATACseq_proj,protocol https://assets.ctfassets.net/an68im79xiti/615GcV6E7TzuqXKqMjPBtP/9badb815aacebe97a6ac5ecf9d86154b/CG000168_ChromiumSingleCellATAC_ReagentKits_UserGuide_RevB.pdf,0
kriegstein_sn_10x_proj,protocol https://cells.ucsc.edu/cortex-dev/protocol.pdf,0
lein_sn_10x,protocol http://doi.org/10.17504/protocols.io.7aehibe,0
lein_sn_10x,protocol http://doi.org/10.17504/protocols.io.nx3dfqn,1
lein_sn_10x,protocol http://doi.org/10.17504/protocols.io.y6rfzd6,2
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.63rhgm6,0
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7aehibe,1
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d5hi86,2
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d6hi9e,3
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.ztqf6mw,4
osten_stpt_proj,protocol http://doi.org/10.17504/protocols.io.smvec66,0
TransgenicSTPT,protocol http://help.brain-map.org/download/attachments/8323525/Mouse_Common_Coordinate_Framework.pdf,0
zeng_anderson_sc_10xv2_proj,protocol https://doi.org/10.1016/j.cell.2019.09.020,0
zeng_fmost_proj,protocol http://doi.org/10.17504/protocols.io.ssgeebw,0
zeng_retro_proj,protocol http://help.brain-map.org/display/mouseconnectivity/Documentation,0
zeng_sc_10x_proj,protocol http://doi.org/10.17504/protocols.io.ynxfvfn,0
zeng_sc_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.63rhgm6,0
zeng_sc_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d5hi86,1
zeng_sc_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d6hi9e,2
zeng_sc_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7dwhi7e,3
zeng_sn_SSv4_proj,protocol http://help.brain-map.org/display/celltypes/Documentation,0
zhangK_snareseq,protocol http://doi.org/10.17504/protocols.io.8tvhwn6,0
huang_macosko_sn_10xv3_proj,protocol http://doi.org/10.17504/protocols.io.md2c28e,0
lein_evo_10x_proj,protocol https://doi.org/10.17504/protocols.io.bq64mzgw,0
lein_L5_pseq_proj,protocol https://doi.org/10.17504/protocols.io.bpbuminw,0
macosko_bg_slideseq_proj,protocol https://doi.org/10.17504/protocols.io.bvv6n69e,0
macosko_mouse_slideseq_proj,protocol https://doi.org/10.17504/protocols.io.bvv6n69e,0
mop_evo_tx_epi_pseq_proj,protocol https://doi.org/10.17504/protocols.io.bpbuminw,0
snyder-mackler_macaque_proj,protocol https://doi.org/10.17504/protocols.io.be8mjhu6,1
snyder-mackler_macaque_proj,protocol https://doi.org/10.17504/protocols.io.9yih7ue,0
zhuang_dulac_merfish_MOE_proj,protocol https://doi.org/10.17504/protocols.io.metc3en,0
zhuang_dulac_merfish_PAG_proj,protocol https://doi.org/10.17504/protocols.io.mepc3dn,0
zhuang_merfish_MOp_proj,protocol https://doi.org/10.17504/protocols.io.mepc3dn,0
zhuang_merfish_NAc_proj,protocol https://doi.org/10.17504/protocols.io.mepc3dn,0
