project_reference_id,sub_program_reference_id,priority_order
chung_antibody_proj,RF1 Chung,0
dev_mouse_brain_ccf_proj,RF1 Kim,0
dong_antero_proj,U01 Dong,0
dong_retro_proj,U01 Dong,0
dong_trio_proj,U01 Dong,0
dong_viral_neuron_proj,U01 Dong,0
dulac_hyp_sn_10x_proj,U19 Huang,0
dulac_pag_sn_10x_proj,U19 Huang,0
ecker_hu_DNAseq_proj,U01 Ecker,0
ecker_hu_sn_ATACseq_proj,U01 Ecker,0
ecker_hu_sn_mCseq_proj,U01 Ecker,0
ecker_sn_ATACseq_proj,U19 Ecker,0
ecker_sn_mCseq_proj,U19 Ecker,0
ecker_sn_mCseq_retro_proj,U19 Ecker,0
ecker_trio_proj,U19 Ecker,0
feng_fish_proj,U01 Feng,0
feng_sn_dropseq_proj,U01 Feng,0
fischl_mri_proj,U01 Fischl,0
huang_antero_proj,U19 Huang,0
huang_dev_cx_proj,U19 Huang,0
huang_fmost_proj,U19 Huang,0
huang_input_conn_proj,U19 Huang,0
huang_macosko_sn_10xv3_proj,U19 Huang,0
huang_pn_proj,U19 Huang,0
huang_retro_proj,U19 Huang,0
huang_sn_10xv2_proj,U19 Huang,0
huang_stpt_conn_proj,U19 Huang,0
huang_stpt_count_proj,U19 Huang,0
human_cortex,ACTD,0
human_cortex,U01 Lein,1
HumanM110xProj,ACTD,0
HumanM110xProj,U01 Lein,1
kriegstein_sc_10x_proj,U01 Kriegstein,0
kriegstein_sc_ATACseq_proj,U01 Kriegstein,0
kriegstein_sn_10x_proj,U01 Kriegstein,0
lein_evo_10x_proj,U01 Lein,0
lein_human_pseq_proj,U01 Lein,0
lein_L5_pseq_proj,U01 Lein,0
lein_sn_10x,U01 Lein,0
lein_sn_SSv4_proj,U01 Lein,0
macosko_bg_shareseq_proj,U01 Macosko,0
macosko_bg_slideseq_proj,U01 Macosko,0
macosko_mouse_slideseq_proj,RF1 Macosko,0
mop_evo_tx_epi_pseq_proj,U01 Lein,0
mueller_mouselight_proj,RF1 Mueller,0
nowakowski_evobc_proj,RF1 Nowakowski,0
nowakowski_pndev_10xv3_proj,RF1 Nowakowski,0
osten_stpt_proj,U01 Osten,0
regev_cisi_proj,RF1 Regev,0
sestan_sn_10x_proj,U01 Sestan,0
snyder-mackler_macaque_proj,U01 Snyder-Mackler,0
tasic_ATACseq_proj,RF1 Tasic,0
tasic_stpt_proj,RF1 Tasic,0
tilgner_sc_10x_PB,RF1 Tilgner,0
TransgenicSTPT,TransChar,0
TransgenicSTPT,U19 Zeng,1
yang_MORF_confocal_proj,U01 Yang,0
zeng_anderson_sc_10xv2_proj,U19 Zeng,0
zeng_fmost_proj,U19 Zeng,0
zeng_mouselight_proj,U19 Zeng,0
zeng_retro_proj,U19 Zeng,0
zeng_sc_10x_proj,U19 Zeng,0
zeng_sc_SSv4_proj,RF1 Tasic,0
zeng_sc_SSv4_proj,U19 Zeng,1
zeng_sn_10x_proj,U19 Zeng,0
zeng_sn_SSv4_proj,U19 Zeng,0
zeng_tolias_pseq_proj,U19 Zeng,0
zhangK_snareseq,U01 ZhangKun,0
zhangl_anatomy_proj,U01 ZhangLi,0
zhangl_ephys_proj,U01 ZhangLi,0
zhangl_kz_omics_proj,U01 ZhangLi,0
zhangl_seqfish_proj,U01 ZhangLi,0
zhuang_dulac_merfish_MOB_proj,U19 Zeng,0
zhuang_dulac_merfish_MOE_proj,U19 Zeng,0
zhuang_dulac_merfish_PAG_proj,U19 Huang,0
zhuang_merfish_MOp_proj,U19 Huang,0
zhuang_merfish_MOp_proj,U19 Zeng,1
zhuang_merfish_NAc_proj,U19 Huang,0
macosko_bg_multiome_proj,U01 Macosko,0
